Player,Capped/Uncapped,Team,Sold/Unsold,Base Price (cr),Winning Bid (cr)
Bhagmender Lather,Uncapped,,Unsold,0.3,
Baltej Dhanda,Uncapped,,Unsold,0.3,
Ali Khan,Uncapped,,Unsold,0.3,
Ravi Kumar,Uncapped,,Unsold,0.3,
Vineet Panwar,Uncapped,,Unsold,0.3,
Vidyadhar Patil,Uncapped,,Unsold,0.3,
Aradhya Shukla,Uncapped,,Unsold,0.3,
Kiran Chormale,Uncapped,,Unsold,0.3,
Ashish Dahariya,Uncapped,,Unsold,0.3,
Tushar Raheja,Uncapped,,Unsold,0.3,
Sarthak Ranjan,Uncapped,,Unsold,0.3,
Abhijeet Tomar,Uncapped,,Unsold,0.3,
Krish Bhagat,Uncapped,,Unsold,0.3,
Sohraab Dhaliwal,Uncapped,,Unsold,0.3,
Harsh Dubey,Uncapped,,Unsold,0.3,
Raj Limbani,Uncapped,,Unsold,0.3,
Ninad Rathva,Uncapped,,Unsold,0.3,
Vivrant Sharma,Uncapped,,Unsold,0.3,
Shiva Singh,Uncapped,,Unsold,0.3,
Sayed Irfan Aftab,Uncapped,,Unsold,0.3,
Anirudh Chowdhary,Uncapped,,Unsold,0.3,
Anshuman Hooda,Uncapped,,Unsold,0.3,
Prashant Sai Painkra,Uncapped,,Unsold,0.3,
Yeddala Reddy,Uncapped,,Unsold,0.3,
Joshua Brown,Uncapped,,Unsold,0.3,
Oliver Davies,Uncapped,,Unsold,0.3,
Atharva Kale,Uncapped,,Unsold,0.3,
Abhishek Nair,Uncapped,,Unsold,0.3,
Vishwanath Pratap Singh,Uncapped,,Unsold,0.3,
Nasir Lone,Uncapped,,Unsold,0.3,
Brandon McMullen,Uncapped,,Unsold,0.3,
S. Midhun,Uncapped,,Unsold,0.3,
Abid Mushtaq,Uncapped,,Unsold,0.3,
Mahesh Pithiya,Uncapped,,Unsold,0.3,
Maramreddy Reddy,Uncapped,,Unsold,0.3,
Atit Sheth,Uncapped,,Unsold,0.3,
Jonty Sidhu,Uncapped,,Unsold,0.3,
Mohit Avasthi,Uncapped,,Unsold,0.3,
Faridoon Dawoodzai,Uncapped,,Unsold,0.3,
